"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.585065675E0,-6.519470215E-1,9.622268677E0,-8.490829468E0
1.590101076E0,-6.574249268E-1,9.603027344E0,-8.487533569E0
1.595136476E0,-6.501922607E-1,9.615753174E0,-8.538177490E0
1.600171877E0,-6.826629639E-1,9.624526978E0,-8.507263184E0
1.605207277E0,-6.189575195E-1,9.634902954E0,-8.495330811E0
1.610242677E0,-6.447296143E-1,9.615066528E0,-8.501480103E0
1.615278078E0,-6.821136475E-1,9.586196899E0,-8.497299194E0
1.620313478E0,-7.324371338E-1,9.637878418E0,-8.490112305E0
1.625348878E0,-6.543273926E-1,9.626724243E0,-8.494506836E0
1.630384279E0,-6.218872070E-1,9.638488770E0,-8.550643921E0
1.635419679E0,-6.489562988E-1,9.610717773E0,-8.562515259E0
1.640455080E0,-6.590576172E-1,9.618209839E0,-8.534500122E0
1.645490480E0,-7.062225342E-1,9.612808228E0,-8.509002686E0
1.650525880E0,-7.025146484E-1,9.601318359E0,-8.519424438E0
1.655561281E0,-7.208251953E-1,9.628219604E0,-8.509704590E0
1.660596681E0,-6.804962158E-1,9.616165161E0,-8.551345825E0
1.665632082E0,-7.203521729E-1,9.613739014E0,-8.519897461E0
1.670667482E0,-6.798400879E-1,9.639160156E0,-8.561523438E0
1.675702882E0,-7.127380371E-1,9.665908813E0,-8.498580933E0
1.680738283E0,-7.126159668E-1,9.655502319E0,-8.443511963E0
1.685773683E0,-7.231292725E-1,9.625717163E0,-8.511016846E0
1.690809084E0,-7.086334229E-1,9.640899658E0,-8.490798950E0
1.695844484E0,-7.007598877E-1,9.648956299E0,-8.466506958E0
1.700879884E0,-7.497558594E-1,9.633697510E0,-8.509887695E0
1.705915285E0,-6.865844727E-1,9.644165039E0,-8.517074585E0
1.710950685E0,-7.134246826E-1,9.603393555E0,-8.576904297E0
1.715986086E0,-6.476287842E-1,9.622604370E0,-8.533020020E0
1.721021486E0,-7.179565430E-1,9.658294678E0,-8.573623657E0
1.726056886E0,-6.840515137E-1,9.630737305E0,-8.579116821E0
1.731092287E0,-6.930847168E-1,9.609100342E0,-8.512924194E0
1.736127687E0,-7.360534668E-1,9.627777100E0,-8.574478149E0
1.741163087E0,-7.447357178E-1,9.590072632E0,-8.587356567E0
1.746198488E0,-4.959716797E-1,9.602294922E0,-8.673980713E0
1.751233888E0,-7.007598877E-1,9.620803833E0,-8.751693726E0
1.756269289E0,-6.449584961E-1,9.617568970E0,-8.708892822E0
1.761304689E0,-7.357330322E-1,9.600219727E0,-8.625869751E0
1.766340089E0,-6.969909668E-1,9.647964478E0,-8.566452026E0
1.771375490E0,-7.769775391E-1,9.563278198E0,-8.524307251E0
1.776410890E0,-6.948394775E-1,9.589630127E0,-8.552612305E0
1.781446291E0,-7.149963379E-1,9.615249634E0,-8.547576904E0
1.786481691E0,-7.176971436E-1,9.628768921E0,-8.531097412E0
1.791517091E0,-7.036437988E-1,9.616943359E0,-8.443908691E0
1.796552492E0,-7.160949707E-1,9.643371582E0,-8.502304077E0
1.801587892E0,-7.431640625E-1,9.631103516E0,-8.604721069E0
1.806623293E0,-7.065124512E-1,9.616973877E0,-8.548889160E0
1.811658693E0,-6.954650879E-1,9.607879639E0,-8.560012817E0
1.816694093E0,-6.645660400E-1,9.622039795E0,-8.496841431E0
1.821729494E0,-6.663970947E-1,9.654022217E0,-8.486892700E0
1.826764894E0,-6.756896973E-1,9.639923096E0,-8.481124878E0
1.831800294E0,-6.737518311E-1,9.643997192E0,-8.502182007E0
1.836835695E0,-6.866607666E-1,9.655441284E0,-8.506072998E0
1.841871095E0,-7.025299072E-1,9.625686646E0,-8.531631470E0
1.846906496E0,-7.117156982E-1,9.646301270E0,-8.486419678E0
1.851941896E0,-6.983795166E-1,9.602722168E0,-8.483673096E0
1.856977296E0,-6.634063721E-1,9.612747192E0,-8.536437988E0
1.862012697E0,-6.947479248E-1,9.659347534E0,-8.511596680E0
1.867048097E0,-7.036132812E-1,9.626907349E0,-8.534973145E0
1.872083498E0,-6.988830566E-1,9.632537842E0,-8.520706177E0
1.877118898E0,-6.532897949E-1,9.655349731E0,-8.528518677E0
1.882154298E0,-6.678161621E-1,9.633163452E0,-8.499481201E0
1.887189699E0,-6.868286133E-1,9.615737915E0,-8.498504639E0
1.892225099E0,-6.881713867E-1,9.619186401E0,-8.497680664E0
1.897260500E0,-6.624755859E-1,9.658233643E0,-8.515823364E0
1.902295900E0,-6.540679932E-1,9.635437012E0,-8.478042603E0
1.907331300E0,-6.872406006E-1,9.620300293E0,-8.463958740E0
1.912366701E0,-6.950531006E-1,9.630630493E0,-8.499282837E0
1.917402101E0,-6.455841064E-1,9.630157471E0,-8.527465820E0
1.922437502E0,-6.407623291E-1,9.645446777E0,-8.537109375E0
1.927472902E0,-6.497039795E-1,9.641601562E0,-8.495742798E0
