"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.841871095E0,4.394531250E-3,-1.173400879E-2,7.019042969E-4
1.846906496E0,3.952026367E-3,-1.045227051E-2,1.556396484E-3
1.851941896E0,5.676269531E-3,-9.185791016E-3,1.342773438E-3
1.856977296E0,5.905151367E-3,-1.133728027E-2,9.613037109E-4
1.862012697E0,6.500244141E-3,-1.228332520E-2,2.868652344E-3
1.867048097E0,5.416870117E-3,-9.796142578E-3,3.448486328E-3
1.872083498E0,4.867553711E-3,-9.796142578E-3,2.105712891E-3
1.877118898E0,5.676269531E-3,-1.007080078E-2,2.288818359E-4
1.882154298E0,6.225585938E-3,-1.058959961E-2,-1.525878906E-5
1.887189699E0,7.232666016E-3,-9.521484375E-3,1.556396484E-3
1.892225099E0,5.371093750E-3,-9.338378906E-3,1.556396484E-3
1.897260500E0,4.913330078E-3,-1.118469238E-2,2.487182617E-3
1.902295900E0,5.676269531E-3,-1.130676270E-2,4.135131836E-3
1.907331300E0,5.020141602E-3,-9.475708008E-3,2.304077148E-3
1.912366701E0,3.540039062E-3,-9.078979492E-3,1.556396484E-3
1.917402101E0,3.540039062E-3,-1.084899902E-2,1.556396484E-3
1.922437502E0,3.890991211E-3,-1.264953613E-2,1.922607422E-3
1.927472902E0,4.241943359E-3,-1.193237305E-2,2.624511719E-3
1.932508302E0,3.540039062E-3,-1.156616211E-2,2.624511719E-3
1.937543703E0,3.540039062E-3,-1.126098633E-2,3.402709961E-3
1.942579103E0,3.921508789E-3,-1.193237305E-2,4.379272461E-3
1.947614503E0,4.608154297E-3,-1.193237305E-2,4.104614258E-3
1.952649904E0,3.784179688E-3,-1.193237305E-2,3.952026367E-3
1.957685304E0,2.044677734E-3,-1.152038574E-2,3.463745117E-3
1.962720705E0,1.831054688E-3,-1.043701172E-2,4.333496094E-3
1.967756105E0,2.914428711E-3,-1.025390625E-2,3.692626953E-3
1.972791505E0,3.540039062E-3,-1.132202148E-2,3.692626953E-3
1.977826906E0,3.997802734E-3,-1.147460938E-2,4.165649414E-3
1.982862306E0,4.135131836E-3,-9.933471680E-3,4.760742188E-3
1.987897707E0,3.540039062E-3,-9.216308594E-3,4.760742188E-3
1.992933107E0,3.540039062E-3,-9.796142578E-3,4.272460938E-3
1.997968507E0,2.532958984E-3,-9.307861328E-3,4.196166992E-3
2.003003908E0,2.410888672E-3,-8.728027344E-3,4.760742188E-3
2.008039308E0,3.540039062E-3,-8.728027344E-3,4.760742188E-3
2.013074709E0,3.540039062E-3,-8.728027344E-3,4.241943359E-3
2.018110109E0,2.990722656E-3,-9.277343750E-3,4.241943359E-3
2.023145509E0,2.471923828E-3,-1.034545898E-2,5.310058594E-3
2.028180910E0,2.471923828E-3,-9.750366211E-3,4.714965820E-3
2.033216310E0,2.471923828E-3,-8.163452148E-3,2.563476562E-3
2.038251711E0,3.036499023E-3,-7.095336914E-3,2.136230469E-3
2.043287111E0,3.540039062E-3,-7.766723633E-3,3.799438477E-3
2.048322511E0,3.540039062E-3,-9.338378906E-3,4.165649414E-3
2.053357912E0,2.929687500E-3,-9.201049805E-3,3.692626953E-3
2.058393312E0,2.471923828E-3,-8.117675781E-3,4.318237305E-3
2.063428712E0,2.471923828E-3,-7.659912109E-3,3.524780273E-3
2.068464113E0,1.831054688E-3,-8.300781250E-3,3.265380859E-3
2.073499513E0,1.403808594E-3,-8.728027344E-3,3.692626953E-3
2.078534914E0,1.403808594E-3,-8.087158203E-3,3.051757812E-3
2.083570314E0,1.403808594E-3,-7.003784180E-3,1.968383789E-3
2.088605714E0,2.059936523E-3,-7.263183594E-3,1.556396484E-3
2.093641115E0,1.785278320E-3,-6.988525391E-3,2.243041992E-3
2.098676515E0,7.019042969E-4,-5.905151367E-3,1.937866211E-3
2.103711916E0,3.356933594E-4,-5.523681641E-3,1.556396484E-3
2.108747316E0,1.754760742E-3,-5.523681641E-3,1.556396484E-3
2.113782716E0,2.471923828E-3,-5.523681641E-3,1.556396484E-3
2.118818117E0,2.471923828E-3,-6.973266602E-3,1.556396484E-3
2.123853517E0,2.593994141E-4,-4.730224609E-3,2.304077148E-3
2.128888918E0,7.476806641E-4,-1.907348633E-3,1.892089844E-3
2.133924318E0,2.151489258E-3,-1.251220703E-3,8.087158203E-4
2.138959718E0,1.708984375E-3,-2.777099609E-3,-2.593994141E-4
2.143995119E0,2.166748047E-3,-2.624511719E-3,1.983642578E-4
2.149030519E0,3.250122070E-3,1.525878906E-5,1.281738281E-3
2.154065919E0,2.746582031E-3,8.850097656E-4,1.556396484E-3
2.159101320E0,2.471923828E-3,7.629394531E-5,1.556396484E-3
2.164136720E0,2.471923828E-3,-1.831054688E-4,2.380371094E-3
2.169172121E0,2.471923828E-3,6.256103516E-4,2.624511719E-3
2.174207521E0,1.632690430E-3,-7.934570312E-4,1.800537109E-3
2.179242921E0,2.243041992E-3,-1.251220703E-3,1.556396484E-3
2.184278322E0,1.617431641E-3,-2.960205078E-3,7.171630859E-4
2.189313722E0,1.403808594E-3,-1.678466797E-3,4.882812500E-4
2.194349123E0,1.403808594E-3,4.730224609E-4,1.358032227E-3
2.199384523E0,2.273559570E-3,0.000000000E0,6.866455078E-4
2.204419923E0,6.866455078E-4,-1.968383789E-3,-3.967285156E-4
2.209455324E0,3.356933594E-4,-2.319335938E-3,3.204345703E-4
2.214490724E0,3.356933594E-4,-5.187988281E-4,-4.119873047E-4
2.219526125E0,3.356933594E-4,-1.831054688E-4,3.356933594E-4
2.224561525E0,3.356933594E-4,-1.831054688E-4,-1.358032227E-3
2.229596925E0,1.266479492E-3,-1.831054688E-4,-7.019042969E-4
2.234632326E0,4.577636719E-4,7.476806641E-4,-5.798339844E-4
2.239667726E0,3.356933594E-4,1.831054688E-3,-5.798339844E-4
2.244703127E0,1.296997070E-3,9.765625000E-4,-1.541137695E-3
2.249738527E0,1.403808594E-3,8.850097656E-4,-1.647949219E-3
2.254773927E0,1.403808594E-3,-1.068115234E-4,-1.647949219E-3
2.259809328E0,4.119873047E-4,1.785278320E-3,-2.624511719E-3
