"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
4.867039490E0;-4.162657261E-2;3.499678522E-2;6.277084351E-2
4.885091857E0;3.422814608E-2;8.924522251E-2;-1.917839050E-2
4.903127441E0;-1.625375748E-1;9.198053181E-2;-1.660976410E-1
4.921167297E0;5.456584692E-1;3.015033007E-1;3.765220642E-1
4.939207153E0;4.671174288E-2;1.064548083E-2;1.271867752E-1
4.957246887E0;-6.445064545E-1;-1.730688810E-1;-7.106113434E-2
4.975285705E0;-3.900806904E-1;2.332037315E-2;9.009456635E-2
4.993323242E0;-1.084505439E0;-1.046512574E-1;-5.335559845E-1
5.011367004E0;-1.646433115E0;-2.298584580E-1;2.636232376E-1
5.029406189E0;-1.607473612E0;3.405926749E-2;1.351423264E-1
5.047444641E0;-2.024369001E0;-4.243294299E-1;-3.536014557E-1
5.065473938E0;-3.181128502E0;-5.586083531E-1;-4.882841110E-1
5.083523559E0;-2.841969967E0;-4.858435094E-1;9.902191162E-2
5.101563598E0;-3.193646669E0;-5.499382615E-1;4.839525223E-1
5.119602966E0;-3.337896585E0;-3.481911719E-1;-7.221717834E-1
5.137643005E0;-2.212116003E0;-2.771431804E-1;-4.648237228E-1
5.155682190E0;-1.927032232E0;1.538320631E-2;-3.567028046E-2
5.173722473E0;-1.244908571E0;4.155187607E-1;-3.835535049E-1
5.191761596E0;-1.812282950E-1;7.050973177E-1;-1.482801437E-1
5.209790100E0;4.998284578E-1;1.039350152E0;-9.919452667E-2
5.227839966E0;1.414367199E0;9.863998890E-1;-1.251878738E-1
5.245878479E0;1.897639990E0;1.049082160E0;-2.734165192E-1
5.263919922E0;1.473816752E0;8.816933632E-1;9.827804565E-2
5.281959838E0;7.562236786E-1;6.119228601E-1;-4.460906982E-2
5.299999328E0;9.623220563E-2;-7.196839899E-2;-6.436691284E-1
5.318039428E0;-4.618150592E-1;-6.074221432E-2;-6.289482117E-2
5.336078430E0;-9.164199829E-1;6.516318023E-2;-1.473522186E-1
5.354118469E0;2.927228808E-1;-1.331280917E-1;4.047613144E-1
5.372155030E0;8.625058532E-1;2.269869000E-1;-3.673038483E-1
5.390200622E0;9.720517993E-1;1.519591510E-1;-4.129076004E-1
5.408236877E0;7.839058042E-1;2.009822279E-1;-4.867267609E-2
5.426276672E0;5.033795834E-1;4.768280685E-1;9.349822998E-3
5.444319763E0;1.034709930E0;4.712470770E-1;-1.007661819E-1
5.462357239E0;1.278344035E0;6.510480642E-1;-1.543035507E-1
5.480394470E0;1.425435424E0;8.798052073E-1;-1.371469498E-1
5.498435485E0;1.161191463E0;7.328795195E-1;7.127304077E-1
5.516474975E0;9.976172447E-1;9.433023930E-1;-4.680671692E-1
5.534514709E0;1.028129578E0;3.953884542E-1;-1.969413757E-1
5.552554016E0;1.289396524E0;3.544656336E-1;1.007289886E-1
5.570593811E0;8.974797726E-1;3.569772243E-1;-1.090145111E-2
5.588623657E0;6.387724876E-1;4.139740765E-1;-2.767324448E-1
5.606673095E0;5.558894873E-1;2.637216151E-1;9.354496002E-2
5.624712280E0;6.113861799E-1;3.592166603E-1;-1.336669922E-2
5.642760315E0;7.006517649E-1;3.287749290E-1;-1.822338104E-1
5.660792358E0;5.281273127E-1;4.680799842E-1;-2.459335327E-1
5.678819335E0;5.219529867E-1;3.802646399E-1;-4.572200775E-2
5.696868226E0;3.992413282E-1;4.696469307E-1;-1.740360260E-2
5.714914001E0;5.554647446E-1;3.349124789E-1;5.084915161E-1
5.732950744E0;7.870594263E-1;5.899064541E-1;-4.494667053E-3
5.750990357E0;4.950002432E-1;3.312039375E-1;-2.033748627E-1
5.769029602E0;2.138069868E-1;1.628427058E-1;3.196926117E-1
5.787057434E0;5.761777163E-1;-1.110593379E-1;3.373441696E-1
5.805108764E0;6.808180809E-1;5.990681797E-2;1.760635376E-1
5.823148742E0;2.689965963E-1;4.557260275E-1;-3.223457336E-1
5.841186401E0;2.132937908E-1;2.646293640E-1;2.174606323E-1
5.859229797E0;4.890228510E-1;1.994383782E-1;1.090555191E-1
5.877267639E0;7.293581963E-2;4.388375282E-1;-2.258710861E-1
5.895307740E0;-2.026510239E-2;5.934862494E-1;-4.810333252E-2
5.913335022E0;1.706141233E-1;3.860072196E-1;3.013753891E-1
5.931385803E0;1.015239954E-1;5.804721117E-1;-1.254949570E-1
5.949427063E0;-9.839034081E-2;5.708609223E-1;-5.189609528E-2
5.967466187E0;-8.369243145E-2;6.100738049E-1;1.250057220E-1
5.985505188E0;-2.528777122E-1;5.890251398E-1;1.659107208E-2
6.003544799E0;-3.322337866E-1;5.933488011E-1;2.698802948E-2
6.021584777E0;-3.133693933E-1;4.470630288E-1;3.086376190E-2
6.039624572E0;-2.371255159E-1;3.679036498E-1;1.082324982E-2
6.057669738E0;-3.382551670E-1;4.385419190E-1;-1.443004608E-2
6.075700745E0;-4.810528755E-1;4.727286100E-1;-9.787559509E-3
6.093746216E0;-4.625940323E-1;4.356305897E-1;-6.881427765E-2
6.111783325E0;-4.276111126E-1;8.085000515E-1;-9.027481079E-2
6.129822571E0;-6.792002916E-1;7.459741235E-1;-2.215986252E-1
6.147850708E0;-7.163748741E-1;1.233826727E-1;3.682508469E-1
6.165897705E0;-6.580857038E-1;7.900941968E-1;1.469488144E-1
6.183941834E0;-9.718841910E-1;7.194991112E-1;-3.649234772E-2
6.201980713E0;-3.360267878E-1;3.721039891E-1;1.981201172E-1
6.220018128E0;-5.229727030E-1;5.551939607E-1;-5.216598511E-2
6.238063415E0;-6.835957170E-1;1.289270997E0;-1.209907532E-1
6.256100402E0;1.801876068E0;1.900163770E0;-1.482060432E0
6.274139526E0;-9.150536656E-1;-2.133126557E-1;1.219977379E0
6.292170959E0;1.200268269E-1;2.522255182E0;7.641096115E-1
6.310215210E0;4.122091532E-1;2.076266289E0;-1.329906464E0
6.328262757E0;-1.649384022E0;9.100505114E-1;7.633094788E-1
6.346298095E0;-6.198610067E-1;1.741112590E0;-8.110027313E-1
6.364337768E0;-5.235382318E-1;2.129619598E0;-2.882175446E-1
6.382377136E0;-1.121022463E0;1.277913332E0;-1.229461670E0
6.400417969E0;2.477607012E0;4.960388541E-1;3.067274094E-1
6.418456665E0;5.866876602E0;7.381033301E-1;2.355139732E0
6.436495666E0;7.493257523E0;-1.005129337E0;-5.615615845E-1
6.454536132E0;7.952057838E0;-1.490650326E-2;1.543591499E0
6.472576171E0;6.614676476E0;7.068367004E-1;-1.502595901E0
6.490615173E0;5.567216396E0;-5.554488897E-1;-2.268266678E-1
6.508655151E0;2.909562111E0;-5.905058384E-1;-5.698566437E-1
6.526693481E0;-1.164685965E0;1.697854549E-1;4.305610657E-1
6.544734681E0;-4.993637562E0;1.288886547E0;-9.433860779E-1
6.562762512E0;-7.874058723E0;9.198607802E-1;2.453050613E-1
6.580813781E0;-9.091556549E0;1.533858180E0;2.859230042E-1
6.598853576E0;-8.456943512E0;6.077368855E-1;3.924961090E-1
6.616893311E0;-8.080079079E0;6.563869119E-1;-3.317279816E-1
6.634932312E0;-6.554868221E0;-1.879646778E-1;-4.277200699E-1
6.652972290E0;-4.436332226E0;3.662007451E-1;-3.186016083E-1
6.671000549E0;-1.775222063E0;-1.391905308E0;1.039286613E0
6.689051513E0;1.337813973E0;-7.546938658E-1;2.517700195E-1
6.707079284E0;2.636526585E0;-1.389826894E0;-3.048477173E-1
6.725130737E0;2.916658878E0;4.188486934E-1;-8.896827698E-3
6.743170715E0;2.633990526E0;5.380855873E-3;-1.434686661E0
6.761210266E0;2.550164223E0;-2.324919701E-1;1.131747246E0
6.779249633E0;2.392309189E0;-3.679632246E-1;-6.547508240E-1
6.797289367E0;1.551039815E0;8.169849515E-1;3.047866821E-1
6.815329223E0;5.917413235E-1;1.377936959E0;-5.230770111E-1
6.833366211E0;1.897625923E-1;6.051869318E-2;1.074677467E0
6.851410034E0;7.346163988E-1;-1.283010095E-1;3.364124298E-1
